split,class_name,label,source,group,path
train,jin,1,data_face_only,jin_j19,data_face_only\jin\j19.jpg
train,jin,1,data,jin_j7,data\jin\j7.jpg
train,jin,1,data_face_only,jin_j7,data_face_only\jin\j7.jpg
train,jin,1,data,jin_j13,data\jin\j13.png
train,jin,1,data_face_only,jin_j13,data_face_only\jin\j13.jpg
train,jin,1,data,jin_j30,data\jin\j30.jpg
train,jin,1,data_face_only,jin_j30,data_face_only\jin\j30.jpg
train,jin,1,data,jin_j12,data\jin\j12.png
train,jin,1,data_face_only,jin_j12,data_face_only\jin\j12.png
train,jin,1,data,jin_j35,data\jin\j35.jpg
train,jin,1,data_face_only,jin_j35,data_face_only\jin\j35.jpg
train,jin,1,data,jin_j29,data\jin\j29.jpg
train,jin,1,data_face_only,jin_j29,data_face_only\jin\j29.jpg
train,jin,1,data,jin_j5,data\jin\j5.jpg
train,jin,1,data_face_only,jin_j5,data_face_only\jin\j5.jpg
train,jin,1,data,jin_j4,data\jin\j4.jpg
train,jin,1,data_face_only,jin_j4,data_face_only\jin\j4.jpg
train,jin,1,data,jin_j10,data\jin\j10.jpg
train,jin,1,data_face_only,jin_j10,data_face_only\jin\j10.jpg
train,jin,1,data,jin_j6,data\jin\j6.webp
train,jin,1,data_face_only,jin_j6,data_face_only\jin\j6.jpg
train,jin,1,data,jin_j8,data\jin\j8.jpg
train,jin,1,data_face_only,jin_j8,data_face_only\jin\j8.jpg
train,jin,1,data,jin_j15,data\jin\j15.jpg
train,jin,1,data_face_only,jin_j15,data_face_only\jin\j15.jpg
train,jin,1,data,jin_j26,data\jin\j26.jpg
train,jin,1,data_face_only,jin_j26,data_face_only\jin\j26.jpg
train,jin,1,data,jin_j2,data\jin\j2.png
train,jin,1,data_face_only,jin_j2,data_face_only\jin\j2.jpg
train,jin,1,data,jin_j27,data\jin\j27.webp
train,jin,1,data_face_only,jin_j27,data_face_only\jin\j27.jpg
train,jin,1,data,jin_j28,data\jin\j28.jpg
train,jin,1,data_face_only,jin_j28,data_face_only\jin\j28.jpg
train,gua,2,data,gua_g37,data\gua\g37.jpg
train,gua,2,data_face_only,gua_g37,data_face_only\gua\g37.jpg
train,gua,2,data,gua_g14,data\gua\g14.webp
train,gua,2,data_face_only,gua_g14,data_face_only\gua\g14.webp
train,gua,2,data,gua_g1,data\gua\g1.jpg
train,gua,2,data_face_only,gua_g1,data_face_only\gua\g1.jpg
train,gua,2,data,gua_g35,data\gua\g35.webp
train,gua,2,data_face_only,gua_g35,data_face_only\gua\g35.jpg
train,gua,2,data,gua_g21,data\gua\g21.jpg
train,gua,2,data_face_only,gua_g21,data_face_only\gua\g21.jpg
train,gua,2,data,gua_g9,data\gua\g9.jpg
train,gua,2,data_face_only,gua_g9,data_face_only\gua\g9.jpg
train,gua,2,data,gua_g18,data\gua\g18.jpg
train,gua,2,data_face_only,gua_g18,data_face_only\gua\g18.jpg
train,gua,2,data,gua_g27,data\gua\g27.webp
train,gua,2,data_face_only,gua_g27,data_face_only\gua\g27.jpg
train,gua,2,data,gua_g24,data\gua\g24.jpg
train,gua,2,data_face_only,gua_g24,data_face_only\gua\g24.jpg
train,gua,2,data,gua_g39,data\gua\g39.jpg
train,gua,2,data_face_only,gua_g39,data_face_only\gua\g39.jpg
train,gua,2,data,gua_g5,data\gua\g5.jpg
train,gua,2,data_face_only,gua_g5,data_face_only\gua\g5.jpg
train,gua,2,data,gua_g2,data\gua\g2.jpg
train,gua,2,data_face_only,gua_g2,data_face_only\gua\g2.jpg
train,gua,2,data,gua_g38,data\gua\g38.webp
train,gua,2,data_face_only,gua_g38,data_face_only\gua\g38.jpg
train,gua,2,data,gua_g30,data\gua\g30.webp
train,gua,2,data_face_only,gua_g30,data_face_only\gua\g30.jpg
train,gua,2,data,gua_g29,data\gua\g29.jpg
train,gua,2,data_face_only,gua_g29,data_face_only\gua\g29.jpg
train,gua,2,data,gua_g13,data\gua\g13.jpg
train,gua,2,data_face_only,gua_g13,data_face_only\gua\g13.jpg
train,gua,2,data,gua_g4,data\gua\g4.jpg
train,gua,2,data_face_only,gua_g4,data_face_only\gua\g4.jpg
train,gua,2,data,gua_g34,data\gua\g34.webp
train,gua,2,data_face_only,gua_g34,data_face_only\gua\g34.webp
train,gua,2,data,gua_g8,data\gua\g8.jpg
train,gua,2,data_face_only,gua_g8,data_face_only\gua\g8.jpg
train,gua,2,data,gua_g3,data\gua\g3.jpg
train,gua,2,data_face_only,gua_g3,data_face_only\gua\g3.jpg
train,gua,2,data,gua_g6,data\gua\g6.jpg
train,gua,2,data_face_only,gua_g6,data_face_only\gua\g6.jpg
train,gua,2,data,gua_g26,data\gua\g26.jpg
train,gua,2,data_face_only,gua_g26,data_face_only\gua\g26.jpg
train,gua,2,data,gua_g15,data\gua\g15.jpg
train,gua,2,data_face_only,gua_g15,data_face_only\gua\g15.jpg
train,gua,2,data,gua_g11,data\gua\g11.webp
train,gua,2,data_face_only,gua_g11,data_face_only\gua\g11.webp
train,gua,2,data,gua_g17,data\gua\g17.jpg
train,gua,2,data_face_only,gua_g17,data_face_only\gua\g17.jpg
train,gua,2,data,gua_g20,data\gua\g20.png
train,gua,2,data_face_only,gua_g20,data_face_only\gua\g20.jpg
train,gua,2,data,gua_g7,data\gua\g7.jpg
train,gua,2,data_face_only,gua_g7,data_face_only\gua\g7.jpg
train,gua,2,data,gua_g32,data\gua\g32.jpg
train,gua,2,data_face_only,gua_g32,data_face_only\gua\g32.jpg
val,hao,0,data,hao_11,data\hao\11.jpg
val,hao,0,data_face_only,hao_11,data_face_only\hao\11.jpg
val,hao,0,data,hao_1,data\hao\1.jpg
val,hao,0,data_face_only,hao_1,data_face_only\hao\1.jpg
val,hao,0,data,hao_8,data\hao\8.jpg
val,hao,0,data_face_only,hao_8,data_face_only\hao\8.jpg
val,hao,0,data,hao_34,data\hao\34.jpg
val,hao,0,data_face_only,hao_34,data_face_only\hao\34.jpg
val,hao,0,data,hao_14,data\hao\14.jpg
val,hao,0,data_face_only,hao_14,data_face_only\hao\14.jpg
val,hao,0,data,hao_15,data\hao\15.jpg
val,hao,0,data_face_only,hao_15,data_face_only\hao\15.jpg
val,jin,1,data,jin_j33,data\jin\j33.webp
val,jin,1,data_face_only,jin_j33,data_face_only\jin\j33.jpg
val,jin,1,data,jin_j18,data\jin\j18.jpg
val,jin,1,data_face_only,jin_j18,data_face_only\jin\j18.jpg
val,jin,1,data,jin_j25,data\jin\j25.webp
val,jin,1,data_face_only,jin_j25,data_face_only\jin\j25.jpg
val,jin,1,data,jin_j14,data\jin\j14.webp
val,jin,1,data_face_only,jin_j14,data_face_only\jin\j14.jpg
val,jin,1,data,jin_j31,data\jin\j31.jpg
val,jin,1,data_face_only,jin_j31,data_face_only\jin\j31.jpg
val,jin,1,data,jin_j16,data\jin\j16.jpg
val,jin,1,data_face_only,jin_j16,data_face_only\jin\j16.jpg
val,gua,2,data,gua_g10,data\gua\g10.jpg
val,gua,2,data_face_only,gua_g10,data_face_only\gua\g10.jpg
val,gua,2,data,gua_g33,data\gua\g33.webP
val,gua,2,data_face_only,gua_g33,data_face_only\gua\g33.jpg
val,gua,2,data,gua_g16,data\gua\g16.jpg
val,gua,2,data_face_only,gua_g16,data_face_only\gua\g16.jpg
val,gua,2,data,gua_g12,data\gua\g12.jpg
val,gua,2,data_face_only,gua_g12,data_face_only\gua\g12.jpg
val,gua,2,data,gua_g28,data\gua\g28.jpg
val,gua,2,data_face_only,gua_g28,data_face_only\gua\g28.jpg
val,gua,2,data,gua_g22,data\gua\g22.jpg
val,gua,2,data_face_only,gua_g22,data_face_only\gua\g22.jpg
test,hao,0,data,hao_17,data\hao\17.jpg
test,hao,0,data_face_only,hao_17,data_face_only\hao\17.jpg
test,hao,0,data,hao_22,data\hao\22.jpg
test,hao,0,data_face_only,hao_22,data_face_only\hao\22.jpg
test,hao,0,data,hao_23,data\hao\23.jpg
test,hao,0,data_face_only,hao_23,data_face_only\hao\23.jpg
test,hao,0,data,hao_25,data\hao\25.jpg
test,hao,0,data_face_only,hao_25,data_face_only\hao\25.jpg
test,hao,0,data,hao_10,data\hao\10.jpg
test,hao,0,data_face_only,hao_10,data_face_only\hao\10.jpg
test,hao,0,data,hao_16,data\hao\16.jpg
test,hao,0,data_face_only,hao_16,data_face_only\hao\16.jpg
test,jin,1,data,jin_j40,data\jin\j40.jpg
test,jin,1,data_face_only,jin_j40,data_face_only\jin\j40.jpg
test,jin,1,data,jin_j36,data\jin\j36.jpg
test,jin,1,data_face_only,jin_j36,data_face_only\jin\j36.jpg
test,jin,1,data,jin_j11,data\jin\j11.jpg
test,jin,1,data_face_only,jin_j11,data_face_only\jin\j11.jpg
test,jin,1,data,jin_j24,data\jin\j24.jpg
test,jin,1,data_face_only,jin_j24,data_face_only\jin\j24.jpg
test,jin,1,data,jin_j9,data\jin\j9.webp
test,jin,1,data_face_only,jin_j9,data_face_only\jin\j9.jpg
test,jin,1,data,jin_j3,data\jin\j3.jpg
test,jin,1,data_face_only,jin_j3,data_face_only\jin\j3.jpg
test,gua,2,data,gua_g25,data\gua\g25.webp
test,gua,2,data_face_only,gua_g25,data_face_only\gua\g25.jpg
test,gua,2,data,gua_g31,data\gua\g31.webp
test,gua,2,data_face_only,gua_g31,data_face_only\gua\g31.jpg
test,gua,2,data,gua_g36,data\gua\g36.jpg
test,gua,2,data_face_only,gua_g36,data_face_only\gua\g36.jpg
test,gua,2,data,gua_g19,data\gua\g19.jpg
test,gua,2,data_face_only,gua_g19,data_face_only\gua\g19.jpg
test,gua,2,data,gua_g23,data\gua\g23.jpg
test,gua,2,data_face_only,gua_g23,data_face_only\gua\g23.jpg
test,gua,2,data,gua_g40,data\gua\g40.jpg
test,gua,2,data_face_only,gua_g40,data_face_only\gua\g40.jpg
